0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Megalomaniac,"Miraculous: Ladybug & Cat Noir, The Movie",The Engineer,Wingwomen,Napoleon,Harry Potter and the Philosopher's Stone,House of Purgatory,Kandahar,"Ruby Gillman, Teenage Kraken",The Hunger Games: Mockingjay - Part 1,Once Upon a Studio,The Equalizer,Justice League: Warworld,Black Adam,Blade Runner 2049,Flamin' Hot,Encanto,Ant-Man and the Wasp: Quantumania,Guy Ritchie's The Covenant,Black Panther: Wakanda Forever
62.0,77.72,65.0,61.48,90.0,79.16,38.0,69.37,74.0,68.0,84.57000000000001,72.57,72.57,69.97,75.49000000000001,82.24000000000001,76.24,64.03999999999999,78.08,71.73
"['Horror,Mystery,Thriller']","['Animation,Family,Action,Fantasy,Romance']","['Action,Thriller']","['Action,Comedy,Drama']","['History,Drama,War']","['Adventure,Fantasy']","['Thriller,Horror']","['Action,Thriller']","['Animation,Family,Fantasy,Comedy']","['Science Fiction,Adventure,Thriller']","['Family,Animation,Fantasy,Comedy']","['Thriller,Action,Crime']","['Animation,Action,Science Fiction,Adventure']","['Action,Adventure,Science Fiction']","['Science Fiction,Drama']","['Comedy,Drama']","['Animation,Comedy,Family,Fantasy']","['Action,Adventure,Science Fiction']","['War,Action,Thriller']","['Action,Adventure,Science Fiction']"
"['Eline Schumacher', 'Benjamin Ramon', 'Wim Willaert', 'Pierre Nisse', 'Raphaëlle Lubansu', 'Quentin Lasbazeilles']","['Annouck Hautbois', 'Benjamin Bollen', 'Fanny Bloc', 'Antoine Tomé', 'Marie Nonnenmacher', 'Martial Le Minoux']","['Emile Hirsch', 'Danny A. Abeckaser', 'Tsahi Halevi', 'Angel Bonanni', 'Oshri Cohen', 'Omer Hazan']","['Mélanie Laurent', 'Adèle Exarchopoulos', 'Isabelle Adjani', 'Manon Bresch', 'Philippe Katerine', 'Félix Moati']","['Joaquin Phoenix', 'Vanessa Kirby', 'Tahar Rahim', 'John Hollingworth', 'Youssef Kerkour', 'Davide Tucci', 'Edouard Philipponnat', 'Ludivine Sagnier', 'Matthew Needham']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Richard Harris', 'Tom Felton', 'Alan Rickman', 'Robbie Coltrane', 'Maggie Smith', 'Richard Griffiths']","['Torey Adkins', 'Brian Krause', 'Anne Leighton', 'Laura Coover', 'Lisa Musser', 'Danny Rhodes', 'Aaron Galvin', 'Marika Engelhardt']","['Gerard Butler', 'Navid Negahban', 'Travis Fimmel', 'Ali Fazal', 'Bahador Foladi', 'Nina Toussaint-White', 'Mark Arnold', 'Corey Johnson', 'Hakeem Jomah']","['Lana Condor', 'Toni Collette', 'Annie Murphy', 'Sam Richardson', 'Liza Koshy', 'Will Forte', 'Colman Domingo', 'Jaboukie Young-White', 'Blue Chapman']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Julianne Moore', 'Philip Seymour Hoffman', 'Jeffrey Wright', 'Stanley Tucci']","['Chris Diamantopoulos', 'Kaitlyn Robrock', 'Tony Anselmo', 'Jim Cummings', 'Scott Adsit', 'Jason Bateman', 'Kristen Bell', 'Jodi Benson', 'Robby Benson']","['Denzel Washington', 'Marton Csokas', 'Chloë Grace Moretz', 'David Harbour', 'Haley Bennett', 'Bill Pullman', 'Melissa Leo', 'David Meunier', 'Johnny Skourtis']","['Jensen Ackles', 'Darren Criss', 'Stana Katic', 'Ike Amadi', 'Troy Baker', 'Matt Bomer', 'Roger Cross', 'Brett Dalton', 'Trevor Devall']","['Dwayne Johnson', 'Aldis Hodge', 'Noah Centineo', 'Sarah Shahi', 'Quintessa Swindell', 'Marwan Kenzari', 'Mo Amer', 'Bodhi Sabongui', 'Pierce Brosnan']","['Ryan Gosling', 'Harrison Ford', 'Ana de Armas', 'Sylvia Hoeks', 'Robin Wright', 'Jared Leto', 'Mackenzie Davis', 'Carla Juri', 'Lennie James']","['Jesse Garcia', 'Annie Gonzalez', 'Emilio Rivera', 'Vanessa Martinez', 'Dennis Haysbert', 'Tony Shalhoub', 'Pepe Serna', 'Bobby Soto', 'Jimmy Gonzales']","['Stephanie Beatriz', 'María Cecilia Botero', 'John Leguizamo', 'Diane Guerrero', 'Jessica Darrow', 'Carolina Gaitán', 'Angie Cepeda', 'Ravi Cabot-Conyers', 'Mauro Castillo']","['Paul Rudd', 'Evangeline Lilly', 'Jonathan Majors', 'Kathryn Newton', 'Michelle Pfeiffer', 'Michael Douglas', 'Corey Stoll', 'Bill Murray', 'William Jackson Harper']","['Jake Gyllenhaal', 'Dar Salim', 'Sean Sagar', 'Jason Wong', 'Rhys Yates', 'Christian Ochoa', 'Bobby Schofield', 'Emily Beecham', 'Jonny Lee Miller']","['Letitia Wright', ""Lupita Nyong'o"", 'Danai Gurira', 'Winston Duke', 'Dominique Thorne', 'Tenoch Huerta Mejía', 'Angela Bassett', 'Florence Kasumba', 'Michaela Coel']"
