0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Texas Chainsaw 3D,Uri: The Surgical Strike,Space Wars: Quest for the Deepstar,Talk to Me,The Flash,Trolls Band Together,Avatar: The Way of Water,Nowhere,Sanctuary,Meteor Storm,Spider-Man: No Way Home,Thriller Night,When Evil Lurks,Indiana Jones and the Dial of Destiny,Night Train,Breakout,Guardians of the Galaxy Vol. 3,Carl's Date,Puss in Boots: The Last Wish,The Little Mermaid
54.55,71.5,35.29,71.95,68.38,65.0,76.49,75.84,60.89,46.04,80.0,69.45,73.25,67.0,63.129999999999995,43.33,80.07999999999998,76.25,82.60999999999999,64.82000000000001
"['Horror,Thriller']","['Action,Drama,War']","['Science Fiction,Adventure,Action']","['Horror,Thriller']","['Action,Adventure,Science Fiction']","['Animation,Family,Music,Fantasy,Comedy']","['Science Fiction,Adventure,Action']","['Thriller,Drama']","['Thriller,Comedy,Drama']","['Science Fiction,Adventure,TV Movie']","['Action,Adventure,Science Fiction']",['Animation'],"['Horror,Thriller']","['Adventure,Action']","['Action,Thriller,Crime']","['Action,Thriller']","['Science Fiction,Adventure,Action']","['Animation,Adventure,Family']","['Adventure,Fantasy,Animation,Comedy,Family,Action']","['Adventure,Family,Fantasy,Romance']"
"['Alexandra Daddario', 'Dan Yeager', 'Trey Songz', 'Tania Raymonde', 'Paul Rae', 'Thom Barry', 'Scott Eastwood', 'Shaun Sipos', 'Richard Riehle']","['Vicky Kaushal', 'Paresh Rawal', 'Yami Gautam', 'Kirti Kulhari', 'Mohit Raina', 'Dhairya Karwa', 'Rajit Kapoor', 'Ivan Rodrigues', 'Manasi Parekh']","['Michael Paré', 'Olivier Gruner', 'Sarah French', 'Rachele Brooke Smith', 'Jed Rowen', 'Elise Muller', 'Sadie Katz']","['Sophie Wilde', 'Alexandra Jensen', 'Joe Bird', 'Otis Dhanji', 'Miranda Otto', 'Zoe Terakes', 'Chris Alosio', 'Marcus Johnson', 'Alexandria Steffensen']","['Ezra Miller', 'Sasha Calle', 'Michael Keaton', 'Michael Shannon', 'Ron Livingston', 'Maribel Verdú', 'Kiersey Clemons', 'Antje Traue', 'Saoirse-Monica Jackson']","['Anna Kendrick', 'Justin Timberlake', 'Camila Cabello', 'Eric André', 'Amy Schumer', 'Andrew Rannells', 'Daveed Diggs', 'Troye Sivan', 'Kid Cudi']","['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver', 'Stephen Lang', 'Kate Winslet', 'Cliff Curtis', 'Joel David Moore', 'CCH Pounder', 'Edie Falco']","['Anna Castillo', 'Tamar Novas', 'Irina Bravo', 'Victoria Teijeiro', 'Lucia Soria', 'Mary Ruiz', 'Tony Corvillo', 'Mariam Torres', 'Edu Bulnes']","['Margaret Qualley', 'Christopher Abbott']","['Michael Trucco', 'Kari Matchett', 'Brett Dier', 'Eric Johnson', 'Kevin McNulty', 'Lara Gilchrist', 'Emily Holmes', 'Carmen Moore', 'Jill Morrison']","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau', 'Jamie Foxx', 'Willem Dafoe', 'Alfred Molina', 'Benedict Wong']","['Michael Gough', 'Dean Edwards', 'Holly Fields', 'André Sogliuzzo', 'Cody Cameron', 'Conrad Vernon', 'Walt Dohrn']","['Ezequiel Rodríguez', 'Demián Salomón', 'Silvina Sabater', 'Virginia Garófalo', 'Emilio Vodanovich', 'Marcelo Michinaux', 'Lucrecia Niron Talazac', 'Luis Ziembrowski', 'Paula Rubinsztein']","['Harrison Ford', 'Phoebe Waller-Bridge', 'Mads Mikkelsen', 'Boyd Holbrook', 'Olivier Richters', 'Ethann Isidore', 'Toby Jones', 'Antonio Banderas', 'Karen Allen']","['Danielle C. Ryan', 'Diora Baird', 'Joe Lando', 'Abraham Benrubi', 'Joseph D. Reitman', 'Ivan Sergei', 'Brent Bailey', 'Kevin Joy', 'Paul Haapaniemi']","['Kristos Andrews', 'Louis Mandylor', 'Tom Sizemore', 'Brian Krause', 'Noel Gugliemi', 'Isaac C. Singleton Jr.', 'Frankie Cullen', 'Daniielle Alexis', 'Tommy Pistol']","['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Karen Gillan', 'Pom Klementieff', 'Vin Diesel', 'Bradley Cooper', 'Sean Gunn', 'Chukwudi Iwuji']","['Ed Asner', 'Bob Peterson']","['Antonio Banderas', 'Salma Hayek Pinault', 'Harvey Guillén', 'Wagner Moura', 'Florence Pugh', 'Olivia Colman', 'Ray Winstone', 'Samson Kayo', 'John Mulaney']","['Halle Bailey', 'Jonah Hauer-King', 'Daveed Diggs', 'Awkwafina', 'Jacob Tremblay', 'Noma Dumezweni', 'Javier Bardem', 'Melissa McCarthy', 'Art Malik']"
