0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Oppenheimer,Five Nights at Freddy's,Expend4bles,Mission: Impossible - Dead Reckoning Part One,Fast X,The Creator,Sound of Freedom,The Marvels,The Killer,The Equalizer 3,Saw X,Pet Sematary: Bloodlines,Blue Beetle,Gran Turismo,Inside Out,Meg 2: The Trench,The Nun II,PAW Patrol: The Mighty Movie,The Monkey King: Reborn,Retribution
82.28,79.91,64.9,75.97,72.23,70.72,80.88,65.0,68.11,74.39,74.14,61.28,69.92,79.94,79.2,67.64999999999999,69.25,70.14999999999999,71.36999999999999,69.76
"['Drama,History']","['Horror,Mystery']","['Action,Adventure,Thriller']","['Action,Thriller']","['Action,Crime,Thriller']","['Science Fiction,Action,Thriller']","['Action,Drama']","['Action,Adventure,Science Fiction']","['Crime,Thriller']","['Action,Thriller,Crime']","['Horror,Thriller']",['Horror'],"['Action,Science Fiction,Adventure']","['Adventure,Action,Drama']","['Animation,Family,Adventure,Drama,Comedy']","['Action,Science Fiction,Horror']","['Horror,Mystery,Thriller']","['Animation,Family,Action,Science Fiction']","['Animation,Action,Fantasy,Family']","['Action,Thriller,Crime']"
"['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh']","['Josh Hutcherson', 'Piper Rubio', 'Elizabeth Lail', 'Matthew Lillard', 'Mary Stuart Masterson', 'Kat Conner Sterling', 'David Lind', 'Christian Stokes', 'Joseph Poliquin']","['Jason Statham', '50 Cent', 'Megan Fox', 'Dolph Lundgren', 'Iko Uwais', 'Andy García', 'Sylvester Stallone', 'Tony Jaa', 'Randy Couture']","['Tom Cruise', 'Hayley Atwell', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Vanessa Kirby', 'Esai Morales', 'Pom Klementieff', 'Henry Czerny']","['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris', 'John Cena', 'Nathalie Emmanuel', 'Jordana Brewster', 'Sung Kang', 'Jason Momoa']","['John David Washington', 'Madeleine Yuna Voyles', 'Gemma Chan', 'Allison Janney', 'Ken Watanabe', 'Sturgill Simpson', 'Amar Chadha-Patel', 'Marc Menchaca', 'Robbie Tann']","['Jim Caviezel', 'Mira Sorvino', 'Bill Camp', 'Gerardo Taracena', 'Kurt Fuller', 'José Zúñiga', 'Eduardo Verástegui', 'Scott Haze', 'Yessica Borroto Perryman']","['Brie Larson', 'Teyonah Parris', 'Iman Vellani', 'Zawe Ashton', 'Park Seo-jun', 'Samuel L. Jackson', 'Gary Lewis', 'Zenobia Shroff', 'Mohan Kapur']","['Michael Fassbender', 'Tilda Swinton', 'Charles Parnell', 'Arliss Howard', ""Kerry O'Malley"", 'Sophie Charlotte', 'Emiliano Pernia', 'Gabriel Polanco', 'Sala Baker']","['Denzel Washington', 'Dakota Fanning', 'Eugenio Mastrandrea', 'David Denman', 'Gaia Scodellaro', 'Remo Girone', 'Andrea Scarduzio', 'Andrea Dodero', 'Daniele Perrone']","['Tobin Bell', 'Shawnee Smith', 'Synnøve Macody Lund', 'Steven Brand', 'Renata Vaca', 'Joshua Okamoto', 'Octavio Hinojosa Martínez', 'Paulette Hernández', 'Jorge Briseño']","['Jackson White', 'Forrest Goodluck', 'Jack Mulhern', 'Henry Thomas', 'Natalie Alyn Lind', 'Pam Grier', 'David Duchovny', 'Samantha Mathis']","['Xolo Mariduena', 'Bruna Marquezine', 'Susan Sarandon', 'Raoul Max Trujillo', 'Belissa Escobedo', 'Damián Alcázar', 'Elpidia Carrillo', 'George Lopez', 'Adriana Barraza']","['Archie Madekwe', 'David Harbour', 'Orlando Bloom', 'Djimon Hounsou', 'Darren Barnet', 'Maeve Courtier-Lilley', 'Geri Horner', 'Daniel Puig', 'Josha Stradowski']","['Amy Poehler', 'Phyllis Smith', 'Bill Hader', 'Kaitlyn Dias', 'Richard Kind', 'Lewis Black', 'Mindy Kaling', 'Diane Lane', 'Kyle MacLachlan']","['Jason Statham', 'Wu Jing', 'Shuya Sophia Cai', 'Page Kennedy', 'Sergio Peris-Mencheta', 'Sienna Guillory', 'Cliff Curtis', 'Skyler Samuels', 'Melissanthi Mahut']","['Taissa Farmiga', 'Jonas Bloquet', 'Storm Reid', 'Anna Popplewell', 'Bonnie Aarons', 'Katelyn Rose Downey', 'Suzanne Bertish', ""Léontine d'Oncieu"", 'Anouk Darwin Homewood']","['Christian Convery', 'Mckenna Grace', 'Taraji P. Henson', 'Kristen Bell', 'Lil Rel Howery', 'James Marsden', 'Serena Williams', 'Alan Kim']","['Jiang Bian', 'Haiting Cai', 'Su Shangqing', 'Zhang Lei', 'He Zhang', 'Lin Qiang', 'Sicen Liu', 'Wang Chenguang', 'Zhongyang Baomu']","['Liam Neeson', 'Noma Dumezweni', 'Lilly Aspell', 'Jack Champion', 'Arian Moayed', 'Embeth Davidtz', 'Matthew Modine', 'Emily Kusche', 'Luca Márkus']"
