0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Boudica,Teenage Mutant Ninja Turtles: Mutant Mayhem,The Baker,Muzzle,Barbie,Elemental,The Exorcist: Believer,After Everything,Transformers: Rise of the Beasts,Babylon A.D.,Spider-Man: Across the Spider-Verse,The Black Book,The Hunger Games: The Ballad of Songbirds & Snakes,Mavka: The Forest Song,Knuckle Girl,John Wick: Chapter 4,One Piece: Episode of Skypiea,The Super Mario Bros. Movie,Sentinelle,My Fault
62.910000000000004,73.27,69.83,67.0,72.03,77.36,61.63,70.39,74.58,55.99,84.08,68.1,75.0,72.63,65.0,77.96000000000001,69.86,77.53999999999999,52.31,80.94
"['Action,War']","['Animation,Comedy,Action,Science Fiction']","['Action,Drama,Crime']","['Action,Crime,Drama,Thriller']","['Comedy,Adventure,Fantasy']","['Animation,Comedy,Family,Fantasy,Romance']",['Horror'],"['Romance,Drama']","['Action,Adventure,Science Fiction']","['Action,Adventure,Science Fiction,Thriller']","['Animation,Action,Adventure']","['Mystery,Thriller,Action']","['Action,Adventure,Science Fiction']","['Animation,Adventure,Family,Fantasy']","['Action,Drama']","['Action,Thriller,Crime']","['Animation,Action,Adventure,Comedy']","['Animation,Family,Adventure,Fantasy,Comedy']","['Action,Comedy,Crime']","['Drama,Romance']"
"['Olga Kurylenko', 'Peter Franzén', 'Clive Standen', 'Lucy Martin', 'Nick Moran', 'James Faulkner', 'Rita Tushingham', 'Harry Kirton', 'Andy Beckwith']","['Micah Abbey', 'Shamon Brown Jr.', 'Nicolas Cantu', 'Brady Noon', 'Ayo Edebiri', 'Maya Rudolph', 'John Cena', 'Seth Rogen', 'Rose Byrne']","['Ron Perlman', 'Emma Ho', 'Elias Koteas', 'Harvey Keitel', 'Joel David Moore', 'Samantha Kaine', 'Dax Ravina', 'Marc David']","['Aaron Eckhart', 'Stephen Lang', 'Diego Tinoco', 'Leslie Black', 'Penelope Mitchell', 'Nick Searcy', 'Grainger Hines', 'Luis Chávez', 'Delissa Reynolds']","['Margot Robbie', 'Ryan Gosling', 'America Ferrera', 'Kate McKinnon', 'Ariana Greenblatt', 'Simu Liu', 'Will Ferrell', 'Michael Cera', 'Helen Mirren']","['Leah Lewis', 'Mamoudou Athie', 'Ronnie del Carmen', 'Shila Ommi', 'Wendi McLendon-Covey', ""Catherine O'Hara"", 'Mason Wertheimer', 'Ronobir Lahiri']","['Leslie Odom Jr.', 'Lidya Jewett', 'Olivia Marcum', 'Ann Dowd', 'Jennifer Nettles', 'Norbert Leo Butz', 'Okwui Okpokwasili', 'Raphael Sbarge', 'E.J. Bonilla']","['Hero Fiennes Tiffin', 'Josephine Langford', 'Mimi Keene', 'Stephen Moyer', 'Louise Lombard', 'Arielle Kebbel', 'Carter Jenkins', 'Kiana Madeira', 'Rob Estes']","['Anthony Ramos', 'Dominique Fishback', 'Peter Cullen', 'Ron Perlman', 'Peter Dinklage', 'Michelle Yeoh', 'Pete Davidson', 'Liza Koshy', 'Cristo Fernández']","['Vin Diesel', 'Michelle Yeoh', 'Mélanie Thierry', 'Lambert Wilson', 'Charlotte Rampling', 'Gérard Depardieu', 'Mark Strong', 'Jérôme Le Banner', 'David Belle']","['Shameik Moore', 'Hailee Steinfeld', 'Jason Schwartzman', 'Oscar Isaac', 'Brian Tyree Henry', 'Luna Lauren Velez', 'Jake Johnson', 'Issa Rae', 'Karan Soni']","['Richard Mofe-Damijo', 'Ade Laoye', 'Sam Dede', 'Alex Usifo Omiagbo', 'Shaffy Bello', 'Kelechi Udegbe', 'Ikechukwu Onunaku', 'Taiwo Ajai-Lycett', 'Iretiola Doyle']","['Tom Blyth', 'Rachel Zegler', 'Hunter Schafer', 'Jason Schwartzman', 'Peter Dinklage', 'Viola Davis', 'Josh Andrés Rivera', 'Fionnula Flanagan', 'Isobel Jesper Jones']","['Nataliia Denysenko', 'Artem Pyvovarov', 'Nazar Zadniprovskyi', 'Oleh Skrypka', 'Olena Kravets', 'Serhii Prytula', 'Oleh Mykhailiuta', 'Nataliia Sumska', 'Julia Sanina']","['Ayaka Miyoshi', 'Hideaki Ito', 'Yosuke Kubozuka', 'Goki Maeda', 'Kanata Hosoda', 'Kotona Minami', 'Satoshi Jinbo', 'Ruka Matsuda', 'Masaki Miura']","['Keanu Reeves', 'Donnie Yen', 'Bill Skarsgård', 'Ian McShane', 'Laurence Fishburne', 'Lance Reddick', 'Clancy Brown', 'Hiroyuki Sanada', 'Rina Sawayama']","['Mayumi Tanaka', 'Kazuya Nakai', 'Akemi Okamura', 'Kappei Yamaguchi', 'Hiroaki Hirata', 'Ikue Otani', 'Yuriko Yamaguchi', 'Rieko Takahashi', 'Masami Suzuki']","['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Keegan-Michael Key', 'Seth Rogen', 'Fred Armisen', 'Sebastian Maniscalco', 'Charles Martinet']","['Jonathan Cohen', 'Raphaël Quenard', 'Emmanuelle Bercot', 'Gustave Kervern', 'Ramzy Bedia']","['Nicole Wallace', 'Gabriel Guevara', 'Marta Hazas', 'Iván Sánchez', 'Eva Ruiz', 'Víctor Varona', 'Fran Berenguer', 'Adriana Ubani', 'Iván Massagué']"
