0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Agnes,RDX: Robert Dony Xavier,Mortal Kombat Legends: Cage Match,Umma,Blood Punch,The Swordsman,Coco,Radical,57 Seconds,The Last Voyage of the Demeter,Killers of the Flower Moon,Avengers: Infinity War,Deep Fear,Last Looks,Desperation Road,Ballerina,Garfield,Sniper: G.R.I.T. - Global Response & Intelligence Team,Bottoms,The Siren
40.940000000000005,68.8,69.50999999999999,53.64,63.87,75.54,82.17,77.0,56.8,71.79,77.0,82.52000000000001,52.31,59.19,73.0,70.07,56.67,70.0,70.11999999999999,60.0
['Horror'],"['Action,Drama']","['Animation,Action,Fantasy']","['Horror,Mystery']","['Horror,Thriller']","['Action,Drama,History']","['Family,Animation,Fantasy,Music,Comedy,Adventure']",['Drama'],"['Thriller,Science Fiction,Action']","['Thriller,Horror']","['Crime,Drama,History']","['Adventure,Action,Science Fiction']","['Horror,Thriller,Action']","['Action,Crime,Thriller']","['Action,Crime,Drama,Thriller']","['Action,Crime,Thriller']","['Animation,Comedy,Family']","['Action,Thriller']",['Comedy'],"['Fantasy,Horror']"
"['Molly C. Quinn', 'Jake Horowitz', 'Hayley McFarland', 'Rachel True', 'Zandy Hartig', 'Chris Browning', 'Ben Hall', 'Mary Buss', 'Chris Sullivan']","['Shane Nigam', 'Antony Varghese', 'Neeraj Madhav', 'Lal', 'Babu Antony', 'Baiju Santhosh', 'Maala Parvathi', 'Mahima Nambiar', 'Aima Sebastian']","['Joel McHale', 'Jennifer Grey', 'Dusan Brown', 'Grey DeLisle', 'Robin Atkin Downes', 'Zehra Fazal', 'Gilbert Gottfried', 'Kelly Hu', 'Matthew Yang King']","['Sandra Oh', 'Fivel Stewart', 'Dermot Mulroney', 'Odeya Rush', 'MeeWha Alana Lee', 'Tom Yi']","['Milo Cawthorne', 'Olivia Tennet', 'Ari Boyland', 'Cohen Holloway', 'Adelaide Kane', 'Fleur Saville', 'Amanda Reed']","['Jang Hyuk', 'Kim Hyun-soo', 'Joe Taslim', 'Jeong Man-sik', 'Jang Hyun-sung', 'Lee Na-kyeong', 'Lee Min-hyuk', 'Choi Jin-ho', 'Ji Seung-hyun']","['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach', 'Renée Victor', 'Ana Ofelia Murguía', 'Edward James Olmos', 'Jaime Camil', 'Alfonso Arau']","['Eugenio Derbez', 'Daniel Haddad', 'Jennifer Trejo', 'Mia Fernanda Solis', 'Danilo Guardiola Escobar', 'Gilberto Barraza', 'Víctor Estrada']","['Josh Hutcherson', 'Morgan Freeman', 'Greg Germann', 'Lovie Simone', 'Bevin Bru', 'Sammi Rotibi', 'Mark Jacobson', 'Griff Furst', 'Dickson Obahor']","['Corey Hawkins', 'Aisling Franciosi', 'David Dastmalchian', 'Javier Botet', 'Liam Cunningham', 'Chris Walley', 'Jon Jon Briones', 'Stefan Kapičić', 'Martin Furulund']","['Leonardo DiCaprio', 'Lily Gladstone', 'Robert De Niro', 'Jesse Plemons', 'Tantoo Cardinal', 'Scott Shepherd', 'Jason Isbell', 'William Belleau', 'Cara Jade Myers']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Benedict Cumberbatch', 'Tom Holland', 'Chadwick Boseman', 'Don Cheadle']","['Mãdãlina Ghenea', 'Ed Westwick', 'Macarena Gómez', 'Stany Coppet', 'Ibrahima Gueye', 'Marco Canadea']","['Charlie Hunnam', 'Mel Gibson', 'Morena Baccarin', 'Clancy Brown', 'Rupert Friend', 'Lucy Fry', 'Dominic Monaghan', 'Jacob Scipio', 'Paul Ben-Victor']","['Garrett Hedlund', 'Mel Gibson', 'Ryan Hurst', 'Willa Fitzgerald', 'Ella Thomas', 'Woody McClain', 'Kat Foster', 'Michael Aaron Milligan', 'Paulina Gálvez']","['Jun Jong-seo', 'Kim Ji-hun', 'Park Hyoung-soo', 'Park Yu-rim', 'Shin Se-hwi', 'Park Geun-jeong', 'Yang Jun-seok', 'Jang Yoon-ju', 'Kim Young-ok']","['Bill Murray', 'Breckin Meyer', 'Jennifer Love Hewitt', 'Stephen Tobolowsky', 'Evan Arnold', 'Mark Christopher Lawrence', 'Jimmy Kimmel', 'Debra Messing', 'Nick Cannon']","['Chad Michael Collins', 'Ryan Robbins', 'Luna Fujimoto', 'Josh Brener', 'Dennis Haysbert', 'Toshiji Takeshima', 'Matthew Sim', 'Eugenia Caruso']","['Rachel Sennott', 'Ayo Edebiri', 'Ruby Cruz', 'Havana Rose Liu', 'Kaia Gerber', 'Nicholas Galitzine', 'Miles Fowler', 'Marshawn Lynch', 'Dagmara Domińczyk']","['Evan Dumouchel', 'Margaret Ying Drake', 'MacLeod Andrews', 'Perry Blackshear']"
